gglist,opened,2020/04/22,19:38:17
chrome,opened,2020/04/22,19:38:17
notepad++,opened,2020/04/22,19:38:17
notepad++,closed,2020/04/22,19:38:22
gglist,opened,2020/04/22,19:40:22
chrome,opened,2020/04/22,19:40:22
notepad++,opened,2020/04/22,19:40:22
winamp,opened,2020/04/22,19:40:28
winamp,closed,2020/04/22,19:40:38
gglist,opened,2020/04/22,19:41:42
chrome,opened,2020/04/22,19:41:42
notepad++,opened,2020/04/22,19:41:42
winamp,opened,2020/04/22,19:41:47
winamp,closed,2020/04/22,19:41:52
gglist,opened,2020/04/22,19:46:18
chrome,opened,2020/04/22,19:46:18
notepad++,opened,2020/04/22,19:46:18
winamp,opened,2020/04/22,19:46:23
vlc,opened,2020/04/22,19:46:28
vlc,closed,2020/04/22,19:46:34
gglist,opened,2020/04/22,19:47:55
winamp,opened,2020/04/22,19:47:55
chrome,opened,2020/04/22,19:47:55
notepad++,opened,2020/04/22,19:47:55
winamp,closed,2020/04/22,19:48:06
vlc,opened,2020/04/22,19:48:16
vlc,closed,2020/04/22,19:48:21
